t_s,I_A,P_device_W,V_V,SOC,T_C
9259.0,1.4867299360344677,5.208076973410264,3.502991311198175,0.13139530853876039,33.31952883205048
9260.0,1.5430439040402746,5.405269388650392,3.501123722961344,0.13128815271209093,33.321433825974054
9261.0,1.4591853552547498,5.108788463480181,3.5032706082518525,0.1311868203957538,33.32115198549104
9262.0,1.503492034720947,5.267139454978667,3.5017920023014475,0.13108241122667597,33.32203116959562
9263.0,1.4618325333874544,5.1190334741202514,3.5027618234972158,0.1309808950785241,33.321820879394465
9264.0,1.492995803979204,5.2296087048198885,3.5016640636371283,0.13087721481435888,33.32242187270583
9265.0,1.4208023135003092,4.975172402716526,3.5035368733762433,0.13077854798703245,33.32115737298028
9266.0,1.2611127018792436,4.418354852517072,3.5080498720107127,0.13069097071606858,33.315859258803584
9267.0,1.4565688738100429,5.109716251344109,3.5024100035025008,0.13058982009983178,33.31559852429007
9268.0,1.5922820101738555,5.5768244408299825,3.498258743924002,0.13047924496023636,33.31879148689188
9269.0,1.5515903819578636,5.427864620672478,3.4990807061283573,0.13037149562815595,33.32087426370589
9270.0,1.554585247448079,5.439619245377352,3.498686938895796,0.13026353831930537,33.32303354791242
9271.0,1.5779746267564803,5.520839216541866,3.497700247450929,0.13015395674800284,33.32578528653056
9272.0,1.4800002604743094,5.176597277288431,3.500223571340513,0.13005117895213658,33.32598704099695
9273.0,1.4882462808587582,5.209194712221679,3.4997790573396497,0.12994782851596584,33.3264236707293
9274.0,1.4185765301263347,4.964704431369695,3.5015925521410822,0.12984931625692928,33.32506793239975
9275.0,1.4436797165623536,5.055178143191886,3.5007320000438957,0.1297490607210569,33.324377005065344
9276.0,1.5238902449157634,5.334731344931343,3.4982331372863595,0.12964323500960442,33.3257439534778
9277.0,1.5754139632402406,5.511165331150645,3.4964695599086317,0.1295338312621572,33.328412964108736
9278.0,1.4609496893286797,5.108166117295701,3.4994783163498298,0.1294323764226205,33.32810294478975
9279.0,1.4330545204736316,5.014943220544577,3.5001113185315935,0.12933285874758763,33.32710745263273
9280.0,1.4714270258746036,5.15015838765698,3.4988478725466425,0.1292306763152352,33.32710584490326
9281.0,1.5234620706155542,5.330362024678735,3.4971372251415267,0.1291248803381091,33.32843164924799
9282.0,1.3487727965747898,4.7168435551599375,3.501963534917307,0.12903121556056918,33.32526634740856
9283.0,1.2738983914531743,4.461145714058829,3.5041024909112015,0.12894275039449604,33.32026031831208
9284.0,1.4225722444140825,4.984838945152525,3.4998128744974992,0.1288439606553006,33.31907248112253
9285.0,1.366869156658156,4.783786272225753,3.5012819739686867,0.1287490391860882,33.31643048917465
9286.0,1.427350889720287,4.997557940705807,3.4994323393355895,0.12864991759652428,33.3153560286421
9287.0,1.4589983200887184,5.105665904354759,3.4983433542895117,0.12854859826874035,33.31508009469911
9288.0,1.4332571075806846,5.014025477293096,3.4988851593358983,0.12844906652515836,33.314135921611125
9289.0,1.5964342943457506,5.585740260341224,3.4939545460825387,0.12833820303249546,33.31740744768297
9290.0,1.5020296801699493,5.248023429380696,3.4963279107327354,0.128233895415817,33.31817636365241
9291.0,1.498755963877844,5.240142307883249,3.496169171992631,0.12812981514054772,33.318880342831335
9292.0,1.5264313254531119,5.336662143213021,3.4951148657023134,0.12802381296516904,33.32029257387825
9293.0,1.3757344892582157,4.8083500646657695,3.4992236797003953,0.12792827584785943,33.317829863727866
9294.0,1.5608414997619462,5.461733536226081,3.4937387472321264,0.12781988407704262,33.32016573993093
9295.0,1.4675598506331884,5.127270714039362,3.496131085682333,0.12771797019852643,33.320035580313686
9296.0,1.5305902593546465,5.351144185172364,3.494089554266343,0.12761167920829347,33.32154969123536
